Cu,Fe,S,SiO2,Al2O3,CaO,MgO,S/Cu,(Fe+S)/Cu,CONC. FEED RATE,SILICA FEED RATE ,COAL FEED RATE,C-SLAG FEED RATE - S Furnace,S-FURNACE AIR,S-FURNACE OXYGEN,Cu_in_Cl_Slag,Fe/SiO2,Fe3O4_Cls,Matte Grade,Cu_C_slag,Fe_C_slag,CaO_C_slag,Fe3O4_C_slag,Cu_class
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.9,2.3,9.3,17919.9,20849.0,0.85,1.14,1.72,69.13,12.64,45.19,17.24,27.85,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,11.8,2.4,8.2,17254.0,19839.1,0.81,1.1,1.65,68.44,18.36,43.11,13.77,29.44,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,13.4,0.7,12.1,18836.7,21995.9,0.82,1.24,1.71,68.13,13.09,44.81,17.41,28.91,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.5,0.5,11.6,18645.2,20517.7,0.8,1.15,1.76,68.31,12.04,46.43,16.71,28.83,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.7,0.5,11.4,18005.9,21330.1,0.8,1.18,1.58,69.21,12.56,45.12,17.27,28.58,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.5,0.8,11.9,18893.0,21083.5,0.84,1.28,1.64,69.23,11.88,44.47,17.79,28.66,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.0,0.5,9.3,18620.8,22026.7,0.81,1.21,1.75,69.02,11.27,46.14,16.2,26.9,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.0,0.5,9.0,18496.5,21596.0,0.84,1.28,1.69,69.09,11.28,46.21,16.21,27.03,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.0,1.3,9.0,18476.2,20989.3,0.84,1.3,1.71,69.13,12.78,44.09,15.26,27.4,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.3,2.0,9.0,18486.9,20895.3,0.81,1.28,1.82,68.97,12.97,44.22,15.67,28.1,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.8,2.0,9.0,18453.1,20760.0,0.82,1.23,1.69,69.07,13.32,44.69,15.94,27.75,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,15.0,2.3,9.0,18166.5,19743.7,0.82,1.23,1.58,69.18,12.88,45.06,16.38,28.1,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,15.4,3.2,6.6,17329.6,18636.2,0.83,1.13,1.49,68.41,11.42,46.68,16.98,26.29,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,15.4,2.6,7.8,18614.3,20003.7,0.71,1.19,1.58,67.91,11.25,46.76,16.49,25.77,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,97.0,14.0,1.8,6.0,17630.2,19820.3,0.74,1.18,1.64,68.11,11.65,46.52,16.76,27.09,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.7,1.0,8.0,17463.9,20947.3,0.75,1.18,1.78,68.65,11.59,46.5,16.75,28.44,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,99.0,12.6,0.8,9.3,17984.3,19780.0,0.84,1.23,1.87,68.94,13.62,44.11,17.37,27.84,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,13.5,2.5,8.2,17298.6,20502.2,0.83,1.22,1.86,68.86,12.49,45.43,16.81,29.01,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,102.0,14.0,2.7,8.0,17620.4,21005.7,0.82,1.16,1.56,68.71,13.29,46.09,16.16,30.11,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,14.1,2.4,8.0,17089.6,19827.8,0.72,1.06,1.6,68.52,12.46,45.76,16.66,30.33,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,13.9,1.8,8.0,17998.6,22023.2,0.71,1.07,1.66,68.75,12.35,46.57,16.72,30.52,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,100.0,14.2,0.7,9.9,18325.9,21871.3,0.8,1.16,1.72,68.76,12.33,46.57,16.71,29.94,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,14.2,0.7,10.3,18450.2,21489.0,0.73,1.09,1.58,68.24,13.05,45.66,16.92,29.73,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,14.5,1.3,8.2,18073.8,20684.3,0.81,1.13,1.68,68.38,12.7,45.71,16.76,29.4,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,91.0,12.5,1.4,8.0,18435.5,20769.1,0.82,1.24,1.59,68.42,14.29,44.47,16.16,26.54,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,91.0,12.8,1.3,8.0,18479.5,20768.2,0.81,1.24,1.65,68.14,13.3,44.94,16.48,26.33,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,90.0,13.3,1.5,8.0,18439.0,20757.9,0.81,1.2,1.48,68.68,13.09,44.56,16.72,26.52,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,91.0,13.4,1.8,8.0,18574.4,20615.9,0.72,1.09,1.43,68.63,13.03,44.4,17.01,27.1,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,90.0,13.5,2.0,8.0,17807.3,18169.4,0.82,1.24,1.51,68.95,14.64,43.96,16.46,28.02,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,91.0,13.5,2.0,8.0,18595.5,18996.9,0.81,1.28,1.71,69.2,12.25,44.73,16.42,27.56,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,93.0,11.4,3.0,5.6,18473.0,19289.4,0.73,1.13,1.44,68.6,12.37,46.04,16.79,29.4,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,91.0,13.6,1.9,8.0,17352.6,18395.6,0.73,1.14,1.68,68.18,11.79,45.97,15.85,29.48,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,90.0,13.7,1.1,8.0,17488.5,18503.5,0.74,1.23,1.6,68.25,11.81,45.61,15.77,29.17,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,90.0,12.9,0.7,8.0,17437.6,18501.5,0.75,1.24,1.65,68.08,11.81,46.04,15.93,29.36,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.0,8.0,17348.7,18776.4,0.81,1.25,1.7,68.49,12.35,44.44,16.43,28.92,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,92.0,13.4,2.5,8.0,16936.1,18269.0,0.74,1.24,1.61,68.58,12.95,44.66,17.04,29.87,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.5,8.0,17551.5,18581.1,0.75,1.24,1.57,68.29,12.29,44.63,16.31,29.9,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,92.0,13.5,2.5,8.0,17425.9,18760.0,0.74,1.22,1.72,68.25,11.75,45.79,15.89,30.22,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,13.3,2.4,8.0,17434.6,18754.8,0.73,1.21,1.64,68.49,11.92,46.26,16.5,31.04,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.5,8.0,16678.3,17359.8,0.75,1.22,1.64,68.43,12.2,46.97,16.44,31.59,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.5,8.0,17583.5,19162.3,0.73,1.21,1.81,68.16,12.06,46.99,16.88,30.96,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,93.0,13.4,1.8,8.0,17462.1,19212.6,0.75,1.11,1.56,69.13,12.42,47.77,15.98,31.58,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,93.0,13.5,1.9,8.0,17595.5,18820.8,0.74,1.23,1.68,68.36,12.19,47.11,16.24,31.15,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,92.0,13.5,2.1,8.2,17480.5,18765.5,0.81,1.24,1.95,68.65,12.08,46.18,16.84,30.88,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.4,8.0,17467.2,18768.1,0.75,1.16,1.55,68.43,11.92,46.38,16.96,31.04,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,94.0,13.5,2.2,7.3,18022.1,18979.4,0.73,1.22,1.63,68.39,11.49,47.13,16.63,29.43,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,90.0,12.1,2.0,6.6,16585.0,16838.4,0.73,1.22,1.74,68.32,11.82,46.03,16.59,28.85,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,14.0,1.9,8.0,18476.2,19978.8,0.75,1.24,1.59,68.19,11.51,47.21,16.31,29.03,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,98.0,14.0,2.0,9.0,18481.0,20466.4,0.74,1.21,1.5,68.14,10.97,47.3,16.14,29.6,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,100.0,14.0,1.9,9.0,18388.3,20524.1,0.73,1.2,1.57,68.14,11.18,47.44,15.66,29.78,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,99.0,14.0,1.5,9.0,18471.0,20490.3,0.72,1.11,1.42,68.48,11.2,47.36,15.75,29.4,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,99.0,14.0,1.5,9.0,18488.3,20499.3,0.74,1.17,1.5,68.45,11.36,47.71,16.49,28.98,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,97.0,14.0,1.5,9.0,18472.2,20399.6,0.73,1.18,1.55,68.5,11.52,46.19,16.82,28.74,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,14.8,1.7,8.0,18971.3,20989.4,0.75,1.2,1.66,68.15,13.66,45.17,16.64,27.93,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,14.8,2.4,7.0,17986.6,21026.0,0.75,1.23,1.84,69.13,12.16,46.24,16.02,28.49,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,15.0,2.0,7.0,17974.1,20954.8,0.75,1.19,1.58,69.0,11.97,46.43,16.72,28.01,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,101.0,15.0,2.7,6.9,17962.5,19977.1,0.83,1.27,1.63,69.45,12.64,44.79,17.06,28.84,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,95.0,13.3,2.8,5.1,17118.7,18160.3,0.75,1.1,1.73,69.45,12.27,46.51,16.88,29.23,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,15.3,2.2,7.0,18010.8,20472.9,0.8,1.23,1.62,68.31,10.99,46.55,15.93,28.51,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.9,0.4,5.0,18517.5,22009.5,0.8,1.18,1.76,68.92,11.92,46.25,16.24,28.13,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,15.3,0.3,8.0,18475.9,21998.3,0.82,1.21,1.65,68.55,11.61,46.67,17.11,27.91,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,14.3,0.4,7.9,18497.1,21462.1,0.7,1.1,1.39,69.8,13.65,44.64,17.42,31.04,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,15.0,1.5,7.0,18496.4,20493.1,0.8,1.22,1.66,69.31,12.76,45.57,16.41,29.76,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,15.0,1.3,7.0,18510.1,20610.8,0.73,1.16,1.39,69.48,12.5,46.42,16.42,30.04,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,15.5,1.1,7.0,18519.3,20547.9,0.8,1.23,1.5,69.45,12.71,46.36,16.82,30.5,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,96.0,13.2,0.9,7.2,18147.8,19897.0,0.71,1.07,1.59,68.59,11.89,46.88,16.6,28.48,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,14.2,0.4,7.8,19013.2,22518.3,0.74,1.26,1.71,68.65,11.94,47.36,16.92,28.44,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,104.0,15.2,0.7,8.1,18645.5,21551.1,0.74,1.19,1.68,68.76,11.88,47.37,16.94,28.73,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,15.1,0.8,8.0,18449.9,21571.6,0.8,1.24,1.53,68.7,11.94,46.94,16.89,27.9,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,14.7,0.7,8.0,18485.9,22277.6,0.81,1.23,1.49,68.34,11.6,47.76,16.43,28.13,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,15.0,0.5,8.0,18537.3,22004.9,0.71,1.07,1.55,68.68,11.65,47.45,16.49,27.7,1
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,105.0,15.0,0.5,9.0,18054.4,21500.7,0.8,1.22,1.54,70.08,12.9,44.01,16.98,29.86,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,106.0,15.0,1.2,7.6,17993.5,20221.4,0.83,1.23,1.59,70.03,13.79,44.43,17.26,31.87,0
26.2,29.8,30.4,6.1,1.6,0.2,0.1,1.2,2.3013188073394497,107.0,15.7,2.0,7.0,18032.2,19823.6,0.75,1.21,1.42,69.93,12.88,44.83,17.22,30.29,1
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,104.0,15.0,0.8,7.5,17990.7,20511.4,0.75,1.17,1.52,68.72,11.42,44.18,15.92,30.16,1
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,15.4,0.5,8.7,18902.7,21288.8,0.81,1.24,1.55,68.6,11.89,46.75,16.98,30.48,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,15.3,1.0,7.0,18670.4,20570.6,0.81,1.27,1.75,69.41,12.38,45.63,17.37,29.55,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,15.0,1.5,6.1,19010.5,21447.1,0.8,1.23,1.69,69.32,12.26,45.96,16.99,29.92,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,97.0,12.3,1.2,4.0,17604.6,20356.5,0.81,1.26,1.66,70.77,12.7,45.6,17.23,27.72,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,106.0,14.0,1.5,4.3,18507.3,21985.9,0.8,1.25,1.72,68.99,12.69,45.95,16.89,28.15,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,14.0,1.6,5.5,18527.9,21888.2,0.81,1.26,1.63,70.44,12.96,45.64,16.98,27.91,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,14.0,2.0,5.7,18101.9,20709.6,0.83,1.16,1.7,70.76,12.46,44.59,15.91,28.05,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,14.0,3.6,5.0,17517.5,19984.5,0.85,1.16,1.59,70.4,12.37,45.37,16.78,27.46,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,13.9,3.3,6.0,17993.0,19896.9,0.8,1.19,1.92,69.18,13.39,44.21,15.92,30.04,0
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,103.0,13.5,2.5,6.6,18024.8,20471.9,0.75,1.17,1.77,68.86,12.23,46.45,16.82,29.7,1
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,101.0,13.1,1.0,8.6,17947.3,21011.6,0.75,1.16,1.64,69.12,12.2,45.82,16.7,28.95,1
25.8,29.5,29.4,7.0,1.6,0.3,0.1,1.1,2.2837685988840675,105.0,13.7,1.0,8.7,18033.3,20836.6,0.74,1.16,1.57,68.95,12.02,46.21,16.92,28.54,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.7,1.0,9.0,17973.2,20929.2,0.75,1.16,1.48,70.02,12.57,44.76,17.64,30.06,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.1,2.0,7.3,17983.7,20043.5,0.8,1.21,1.56,69.7,12.82,45.26,17.41,29.78,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.1,1.9,6.2,19091.1,21577.3,0.83,1.24,1.53,69.77,12.31,46.47,17.07,29.22,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,92.0,12.0,3.0,5.1,17519.3,17701.3,0.82,1.24,1.52,69.66,12.61,44.17,17.15,28.02,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,13.3,2.2,5.0,18461.5,19188.9,0.82,1.19,1.51,69.26,12.62,44.2,17.0,28.11,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,100.0,12.7,1.2,4.0,18954.4,20596.9,0.84,1.24,1.67,69.38,11.16,45.55,16.85,29.69,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,88.0,10.1,1.2,4.0,17975.6,18945.9,0.84,1.22,1.62,69.66,11.51,45.68,16.95,29.92,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,103.0,12.4,1.6,3.4,18875.3,20361.6,0.85,1.2,1.7,69.77,12.36,45.55,17.84,29.44,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,101.0,12.4,2.0,3.0,18955.1,20743.0,0.83,1.21,1.65,69.4,12.52,46.14,17.07,30.06,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,100.0,12.5,1.9,3.0,19122.3,20508.5,0.84,1.28,1.82,69.91,11.49,46.9,17.33,30.25,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,103.0,12.5,2.3,3.0,18592.4,20075.0,0.8,1.24,1.62,69.96,11.89,46.13,16.89,29.71,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,101.0,12.5,2.9,3.0,18895.7,20587.7,0.71,1.06,1.34,70.39,11.92,45.4,17.31,28.49,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,102.0,12.5,3.8,2.6,18123.6,20236.5,0.81,1.17,1.49,70.38,12.44,45.82,16.94,28.94,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,101.0,12.5,4.0,2.5,18033.2,19980.0,0.83,1.18,1.56,69.97,12.03,45.85,17.13,28.76,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.7,3.1,2.0,18175.0,20241.6,0.8,1.17,1.69,68.8,13.11,45.16,15.38,29.11,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.1,1.9,2.0,18444.0,21376.6,0.74,1.22,1.76,68.98,12.13,48.13,15.07,29.96,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.0,2.0,2.1,18189.0,20544.9,0.74,1.18,1.64,69.49,12.2,44.79,16.74,30.57,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.8,2.0,2.0,18454.4,20676.9,0.75,1.2,1.55,69.38,12.13,44.85,16.79,29.74,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.8,1.4,2.0,18520.3,20660.4,0.82,1.17,1.62,69.42,11.45,47.27,16.6,28.3,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,99.0,12.1,1.6,2.0,16948.3,18746.6,0.75,1.15,1.7,69.12,11.77,46.68,16.21,27.93,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,13.5,1.0,2.0,18087.7,21054.7,0.8,1.19,1.48,69.23,17.58,44.91,16.46,28.15,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,98.0,13.7,2.9,2.0,16072.1,18907.5,0.8,1.12,1.42,69.21,13.64,46.89,15.6,29.42,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.0,1.6,2.0,16769.6,21280.0,0.74,1.13,1.51,68.69,13.6,46.89,15.6,29.16,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,102.0,12.7,0.6,2.0,16799.2,21389.5,0.74,1.16,1.63,68.71,16.25,42.24,16.3,28.11,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.7,0.5,2.0,16647.6,21258.5,0.73,1.13,1.52,68.82,16.87,41.77,17.79,25.89,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.6,0.5,2.6,16802.4,21015.3,0.75,1.17,1.58,69.2,16.28,44.09,15.37,26.15,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,12.8,0.8,3.0,17093.4,20491.9,0.82,1.21,1.8,69.1,12.92,44.28,17.56,28.64,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,103.0,12.6,1.4,3.1,18507.4,20628.8,0.75,1.21,1.85,69.33,13.11,44.42,17.93,29.88,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,12.8,1.8,2.1,18449.2,20570.2,0.85,1.21,1.7,69.56,12.18,46.0,16.71,28.11,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.2,2.0,2.0,18412.8,20189.3,0.83,1.23,1.63,69.54,12.09,45.56,17.57,27.7,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,93.0,11.1,2.2,2.0,17536.8,18812.4,0.8,1.21,1.7,69.45,11.62,45.31,17.61,28.13,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,11.9,1.9,2.0,18237.1,20813.7,0.83,1.22,1.63,69.59,11.78,45.47,17.61,27.25,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.2,1.1,2.0,18586.6,20338.2,0.85,1.19,1.48,69.18,11.32,45.87,17.08,28.15,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,14.2,1.8,2.0,18393.7,19791.2,0.82,1.21,1.59,69.31,11.63,46.25,16.67,27.7,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,13.8,3.0,2.0,17835.3,20699.0,0.73,1.16,1.43,68.83,12.49,45.21,16.6,28.48,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.4,3.0,2.0,17820.6,20665.5,0.8,1.23,1.76,69.08,11.47,45.95,16.9,27.94,0
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,13.7,3.0,2.0,17714.8,20711.5,0.7,1.07,1.49,68.59,11.93,46.35,16.8,28.11,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.0,2.9,2.2,17671.0,20762.6,0.73,1.15,1.41,68.08,11.94,45.94,16.37,28.79,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,14.0,2.6,3.0,17810.2,20778.1,0.74,1.16,1.48,67.95,12.24,46.53,16.8,28.4,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,14.0,1.2,3.0,17886.2,20945.0,0.72,1.16,1.59,68.15,12.17,46.4,16.77,28.64,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.0,1.3,3.0,17946.9,20994.0,0.75,1.15,1.49,68.13,11.24,46.06,16.16,29.12,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,14.0,1.5,3.0,17974.6,21000.9,0.75,1.14,1.62,68.17,11.26,46.4,16.58,28.55,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,92.0,13.1,1.6,4.0,17071.7,19461.9,0.74,1.15,1.64,69.02,13.13,44.43,16.76,29.08,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.0,2.2,4.0,17757.3,20796.0,0.74,1.14,1.5,68.58,12.12,45.36,16.55,28.23,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,14.0,2.0,4.0,18031.9,21008.4,0.74,1.15,1.55,69.32,14.48,45.16,16.21,28.07,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,104.0,14.0,2.4,3.4,17941.9,20702.1,0.75,1.15,1.62,69.18,13.49,45.6,16.92,28.75,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,105.0,14.4,2.2,5.7,18038.6,20513.0,0.75,1.11,1.62,69.02,12.77,45.66,17.13,28.05,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,106.0,14.2,2.5,5.9,18529.4,20981.3,0.72,1.14,1.63,68.51,11.81,46.76,16.39,27.75,1
25.6,28.9,29.8,7.5,1.5,0.5,0.7,1.2,2.2901584759747298,92.0,12.1,2.1,4.5,17122.2,19289.2,0.71,1.1,1.49,68.4,11.71,46.3,15.8,28.15,1
